	AAAU	AALI	AALJ	AALK	AAAK	AAT0	AAT1	A9QA	A0SB	A0SD	A0SE	A0SF	A0SG	A0SH
A1BG	197.0897	237.3844	423.2366	191.0178	268.8809	203.7718	211.2958	314.1841	49.1992	142.2976	192.8194	326.0194	168.8309	180.3235
A2LD1	102.9634	70.8646	161.2602	62.5072	154.3702	111.5354	101.9723	233.6192	37.8962	66.863	70.9305	161.3454	115.6368	130.3942
A2ML1	1.3786	4.3502	0	1.6549	3.4043	1.1732	4.075	0	3.1535	7.609	0.9872	3.4272	1.8	1.4446
A2M	5798.3746	7571.9793	8840.3989	10960.2193	9585.4426	12331.3213	15406.6259	3182.4843	31626.949	23793.4927	15728.487	15583.9901	12472.9871	13997.8602
A4GALT	68.2424	157.6944	573.8894	506.4129	342.1277	370.1422	263.2437	411.6109	337.4254	377.14	266.2279	441.2557	619.5662	348.5123
A4GNT	8.6165	0.5438	0	0	0.4255	4.1062	0.815	3.6611	0.901	0.6616	0	0.8568	0.72	1.0835
AAAS	649.3372	887.9826	723.4814	776.9963	819.1489	954.3921	791.361	873.431	711.7919	527.3344	636.4459	1005.4632	718.9272	524.0324
AACS	1087.3986	836.3241	1533.0916	858.0885	840	833.5533	934.8003	1198.2218	2184.0297	784.7159	831.2629	442.9693	1721.1772	820.1776
AADAC	0	1.0875	0.9066	2.8962	0.4255	0	0	0	0	0	0.3291	0	0.36	0
AADAT	5.5145	24.4698	53.4905	57.0956	62.9787	34.6092	32.5998	114.5397	200.473	39.6989	28.9593	18.4214	29.8803	92.0939
AAGAB	1300.3977	3541.0549	1360.8341	1683.4919	1802.5532	1892.3596	2127.9544	2584.205	848.7442	1952.1958	1649.0333	1007.1768	2701.107	1353.6
AAK1	517.3329	848.2871	568.4497	727.7617	678.2979	946.1798	692.7465	344.6653	1048.3163	1105.2849	1013.2456	663.1688	437.0444	1188.9144
AAMP	2053.1326	2979.8804	2291.9311	2762.5155	3290.6383	3591.1424	3097.7995	3366.1088	2198.4458	2395.8316	2841.2999	2950.8439	3237.1524	2385.7742
AARS2	689.8967	472.5014	439.7099	431.9363	577.8468	583.0708	535.4523	774.5554	513.0893	465.1361	431.7532	410.7876	246.5881	358.2598
