	A0CE	A0CH	A0D9	A0DB	A13E	A13F	A13G	A23H	A2FB	A2FF
A1BG	154.473	109.3484	15.7841	19.0722	41.5445	67.5258	17.4868	38.5795	75.5676	87.5849
A2LD1	119.581	111.9699	105.5041	153.567	122.7455	112.7885	114.4124	76.2072	73.6582	76.5467
A2ML1	16.8254	19.5581	22.9124	9.7938	3.9032	9.8788	1.6267	33.9923	11.1253	17.3258
A2M	40198.2063	32634.9299	44700.9521	41867.0567	50626.1321	30585.357	41476.405	37640.8373	43303.4565	36954.5029
A4GALT	627.3016	924.1185	542.7699	648.4536	505.9505	469.2411	377.7959	276.59	489.5114	329.4704
A4GNT	1.9048	0.3761	19.3483	3.0928	1.9516	0.449	4.0667	1.0734	1.8041	0.2794
AAAS	780	815.7969	595.723	557.2165	612.8003	672.6538	524.1968	473.0298	582.4224	698.902
AACS	1132.0635	2177.7151	710.7943	1265.4639	1615.4312	1501.5716	1621.7975	1001.8785	847.9252	2725.7459
AADAC	19.6825	101.9276	619.1446	371.6495	45.8624	208.352	433.9162	219.6976	88.4007	0.8383
AADAT	58.7302	250.8698	78.9206	56.1856	53.6688	86.2146	80.9272	98.041	67.3529	143.3574
AAGAB	1448.8889	1077.9502	673.6253	807.732	947.0106	733.7225	706.7914	1015.1176	1018.1116	1282.1122
AAK1	966.9841	828.5849	1032.0774	1192.268	1302.6884	1044.9035	2246.4416	1168.9775	966.9956	1115.5606
AAMP	2770.7937	2588.0583	1977.5967	1855.1546	1445.1547	1655.1414	1468.4831	1089.1851	1972.1778	2049.4792
AARS2	485.0413	349.5477	225.555	251.5464	205.815	345.7566	179.7397	234.0066	318.42	437.8575
AARSD1	692.6984	574.33	478.6151	402.0619	362.5084	415.806	355.429	373.5576	464.2541	597.1826
AARS	3063.1746	3213.9163	3248.4725	2707.732	3263.5517	3305.3435	2511.5901	2122.5512	2823.7112	2995.6937
AASDHPPT	655.5016	662.3413	599.2872	679.8969	740.1417	720.2515	926.7995	899.9016	702.5662	879.7056
AASDH	314.9206	256.1354	315.1731	250	348.3594	398.2937	377.7959	453.35	350.2953	357.1359
AASS	592.6984	347.5317	664.4603	759.7938	458.6244	519.533	2510.7767	922.0861	490.1128	502.7288
AATF	1138.7302	1040.7146	1019.8574	960.8247	593.2843	725.6399	684.0179	803.2919	969.7017	870.2043
AATK	91.746	43.6483	30.0407	33.701	37.0803	53.8841	18.7068	22.5423	45.1235	43.6108
ABAT	1226.3492	619.464	224.5418	264.433	485.4588	272.564	482.7166	457.286	657.2924	1002.1043
ABCA10	164.127	244.0997	244.3992	321.134	271.2715	528.9627	810.4921	517.3987	275.8463	238.37
ABCA11P	151.2349	93.1453	89.2159	78.433	104.9616	119.6632	164.8963	168.3227	129.8679	156.8072
ABCA12	194.9206	280.583	4.5825	3.0928	35.1287	9.8788	0	36.1392	18.3416	783.8546
ABCA13	8.5714	3.385	9.6741	3.0928	16.1006	5.8374	0.4067	49.7361	1.8041	49.7419
